Kingdom	Phylum	Class	Order	Family	Genus	Species	p-values	p-values (corrected)	Effect size	Note	Control: mean rel. freq. (%)	Control: std. dev. (%)	DSS: mean rel. freq. (%)	DSS: std. dev. (%)	RCE: mean rel. freq. (%)	RCE: std. dev. (%)	RCE_plus_DSS: mean rel. freq. (%)	RCE_plus_DSS: std. dev. (%)	Control_327	Control_327: parent seq. count	Control_327: rel. freq. (%)	Control_328	Control_328: parent seq. count	Control_328: rel. freq. (%)	Control_330	Control_330: parent seq. count	Control_330: rel. freq. (%)	DSS_334	DSS_334: parent seq. count	DSS_334: rel. freq. (%)	DSS_339	DSS_339: parent seq. count	DSS_339: rel. freq. (%)	DSS_treatedp	DSS_treatedp: parent seq. count	DSS_treatedp: rel. freq. (%)	RCE_318	RCE_318: parent seq. count	RCE_318: rel. freq. (%)	RCE_319	RCE_319: parent seq. count	RCE_319: rel. freq. (%)	RCE_322	RCE_322: parent seq. count	RCE_322: rel. freq. (%)	RCE_plus_DSS_301	RCE_plus_DSS_301: parent seq. count	RCE_plus_DSS_301: rel. freq. (%)	RCE_plus_DSS_305	RCE_plus_DSS_305: parent seq. count	RCE_plus_DSS_305: rel. freq. (%)	RCE_plus_DSS_313	RCE_plus_DSS_313: parent seq. count	RCE_plus_DSS_313: rel. freq. (%)
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides chinchillae	0.002793372	0.002793372	0.812678403		0	0	0	0	0.140800745	0.05854235	0	0	0	19438122	0	0	19438110	0	0	19438110	0	0	19438101	0	0	19438115	0	0	19438110	0	25735	19438098	0.132394641	14321	19438102	0.073674889	42051	19438115	0.216332705	0	19438095	0	0	19438108	0	0	19438100	0
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__(Klebsiella)	0.003188485	0.003188485	0.806231356		0.000176629	0.000249791	0	0	0.000725379	0.000105264	0.000476727	2.98E-05	103	19438122	0.000529887	0	19438110	0	0	19438110	0	0	19438101	0	0	19438115	0	0	19438110	0	165	19438098	0.000848848	115	19438102	0.000591622	143	19438115	0.000735668	99	19438095	0.000509309	85	19438108	0.000437285	94	19438100	0.000483586
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium sp. CAG:557	0.003796333	0.003796333	0.797377562		0.033753282	0.047734349	0	0	0.56207813	0.152470958	0.29510423	0.163550462	0	19438122	0	0	19438110	0	19683	19438110	0.101259845	0	19438101	0	0	19438115	0	0	19438110	0	90354	19438098	0.464829429	151106	19438102	0.777370136	86312	19438115	0.444034825	31008	19438095	0.159521805	102085	19438108	0.525179714	38995	19438100	0.200611171
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__(Lactobacillus)	0.004873002	0.004873002	0.783977985		0.670565694	0.203591772	0.118049871	0.124436212	0.181475176	0.037356499	0.085018595	0.061563351	175533	19438122	0.903034768	136348	19438110	0.701446797	79155	19438110	0.407215516	12450	19438101	0.064049467	56390	19438115	0.290100146	0	19438110	0	35366	19438098	0.181941669	44123	19438102	0.226992327	26337	19438115	0.135491533	27947	19438095	0.143774377	21631	19438108	0.111281407	0	19438100	0
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__(Bacteroides)	0.00522798	0.00522798	0.780041635		3.70231415	1.194076531	12.30835903	2.81361573	5.101860488	0.486073558	6.756771335	1.570132164	500252	19438122	2.573561376	1040799	19438110	5.35442489	617929	19438110	3.178956185	1980492	19438101	10.18871134	3165402	19438115	16.28451113	2031643	19438110	10.45185463	1085888	19438098	5.586390191	862529	19438102	4.437310803	1026698	19438115	5.28188047	1224268	19438095	6.298292091	992206	19438108	5.104437119	1723690	19438100	8.867584795
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Odoribacteraceae	g__Butyricimonas	s__(Butyricimonas)	0.005879672	0.005879672	0.773298845		0	0	0.081871823	0.010078944	0.023121241	0.032698372	0.063351525	0.007109763	0	19438122	0	0	19438110	0	0	19438110	0	18667	19438101	0.096033044	14265	19438115	0.073386746	14811	19438110	0.07619568	0	19438098	0	0	19438102	0	13483	19438115	0.069363722	11924	19438095	0.06134346	10851	19438108	0.055823334	14168	19438100	0.072887782
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella oxytoca	0.006748498	0.006748498	0.765114837		0.028591582	0.040434604	0	0	0.105344633	0.019829004	0.099577627	0.022107396	16673	19438122	0.085774747	0	19438110	0	0	19438110	0	0	19438101	0	0	19438115	0	0	19438110	0	17410	19438098	0.089566376	25913	19438102	0.133310341	18108	19438115	0.093157181	21377	19438095	0.109974769	23309	19438108	0.119913934	13382	19438100	0.068844177
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Roseburia	s__Roseburia sp. CAG:303	0.006978809	0.006978809	0.763076079		0.029963476	0.042374753	0	0	0	0	0.18225201	0.072804157	0	19438122	0	0	19438110	0	17473	19438110	0.089890427	0	19438101	0	0	19438115	0	0	19438110	0	0	19438098	0	0	19438102	0	0	19438115	0	25942	19438095	0.13345958	55431	19438108	0.285166643	24906	19438100	0.128129807
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Eubacteriaceae	g__Eubacterium	s__Eubacterium plexicaudatum	0.007629159	0.007629159	0.757573463		0.414472645	0.150431487	0	0	0.143256425	0.072780635	0.135184669	0.032411599	87771	19438122	0.451540535	41698	19438110	0.214516741	112228	19438110	0.577360659	0	19438101	0	0	19438115	0	0	19438110	0	15733	19438098	0.080938989	47693	19438102	0.245358317	20113	19438115	0.103471967	27245	19438095	0.140162912	33464	19438108	0.172156673	18123	19438100	0.093234421
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Odoribacteraceae	g__Odoribacter	s__Odoribacter sp. CAG:788	0.008609502	0.008609502	0.749894417		0	0	0.082460017	0.019400402	0	0	0.023862062	0.033746051	0	19438122	0	0	19438110	0	0	19438110	0	21295	19438101	0.109552883	14124	19438115	0.072661367	12667	19438110	0.065165801	0	19438098	0	0	19438102	0	0	19438115	0	0	19438095	0	13915	19438108	0.071586185	0	19438100	0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__(Lachnospiraceae bacterium M18-1)	s__Lachnospiraceae bacterium M18-1	0.011076562	0.011076562	0.733063614		0.045036942	0.03281904	0	0	0	0	0.069614135	0.015150057	15020	19438122	0.077270839	0	19438110	0	11243	19438110	0.057839985	0	19438101	0	0	19438115	0	0	19438110	0	0	19438098	0	0	19438102	0	0	19438115	0	11225	19438095	0.057747428	17688	19438108	0.090996511	11682	19438100	0.060098466
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides fragilis	0.011672112	0.011672112	0.729419233		0.026202822	0.037056386	0.119504084	0.012740168	0.115376469	0.018576734	0.091531577	0.013668723	0	19438122	0	15280	19438110	0.078608466	0	19438110	0	26267	19438101	0.135131513	23220	19438115	0.119456028	20201	19438110	0.103924713	23230	19438098	0.119507577	17658	19438102	0.090842203	26393	19438115	0.135779627	17113	19438095	0.088038463	14931	19438108	0.076813031	21332	19438100	0.109743236
k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__(Desulfovibrio)	0.012284133	0.012284133	0.725812666		0.065165781	0.046081946	0.07870109	0.059903673	0.231536657	0.071835977	0.266704717	0.035438606	18880	19438122	0.097128725	0	19438110	0	19121	19438110	0.098368617	28225	19438101	0.145204514	0	19438115	0	17669	19438110	0.090898755	61140	19438098	0.314536947	46801	19438102	0.240769392	27078	19438115	0.139303631	52799	19438095	0.271626412	59760	19438108	0.307437329	42968	19438100	0.221050411
k__Bacteria	p__Firmicutes	c__(Firmicutes bacterium ASF500)	o__(Firmicutes bacterium ASF500)	f__(Firmicutes bacterium ASF500)	g__(Firmicutes bacterium ASF500)	s__Firmicutes bacterium ASF500	0.014776531	0.014776531	0.712350115		0.218193309	0.055195618	0.1029867	0.036454292	0.129374757	0.062009188	0.407243128	0.121382285	54209	19438122	0.278879822	28250	19438110	0.14533306	44779	19438110	0.230367047	16500	19438101	0.084884835	13652	19438115	0.070233148	29904	19438110	0.153842117	15936	19438098	0.08198333	42175	19438102	0.216970772	17333	19438115	0.089170169	86586	19438095	0.445444885	103620	19438108	0.533076573	47275	19438100	0.243207927
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Lachnoclostridium	s__(Lachnoclostridium)	0.015042985	0.015042985	0.711011376		0.246040658	0.059704053	0.075607504	0.053745011	0.137010956	0.016661048	0.245716721	0.044192822	62717	19438122	0.322649482	34404	19438110	0.176992516	46356	19438110	0.238479976	20735	19438101	0.106671943	0	19438115	0	23355	19438110	0.12015057	23611	19438098	0.121467646	31124	19438102	0.160118514	25162	19438115	0.129446708	39097	19438095	0.201135965	59469	19438108	0.305940269	44722	19438100	0.230073927
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__(Ruminococcaceae)	s__(Ruminococcaceae)	0.015070601	0.015070601	0.710873612		0.488668779	0.13275	0.276983401	0.020419449	0.425912593	0.082151916	0.657661963	0.074320374	122691	19438122	0.631187519	60565	19438110	0.311578646	101708	19438110	0.523240171	59432	19438101	0.305750032	51470	19438115	0.26478905	50619	19438110	0.26041112	79519	19438098	0.409088379	103776	19438102	0.533879285	65073	19438115	0.334770115	107605	19438095	0.55357791	140413	19438108	0.722359398	135493	19438100	0.69704858
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Anaerotruncus	s__Anaerotruncus sp. G3(2012)	0.015708459	0.015708459	0.707741519		0.152785733	0.055522409	0	0	0.02578441	0.036464663	0.047081071	0.03406495	37556	19438122	0.193207965	14438	19438110	0.074276769	37102	19438110	0.190872467	0	19438101	0	0	19438115	0	0	19438110	0	0	19438098	0	15036	19438102	0.077353231	0	19438115	0	12009	19438095	0.061780745	15446	19438108	0.079462466	0	19438100	0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__uncultured Clostridium sp.	0.016393637	0.016393637	0.704478333		0.05909523	0.043730568	0	0	0	0	0.091190316	0.025929108	20300	19438122	0.104433957	0	19438110	0	14161	19438110	0.072851733	0	19438101	0	0	19438115	0	0	19438110	0	0	19438098	0	0	19438102	0	0	19438115	0	17199	19438095	0.088480893	24145	19438108	0.124214764	11833	19438100	0.060875291
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__(Flavonifractor)	g__Flavonifractor	s__(Flavonifractor)	0.017690566	0.017690566	0.698563264		0.059414192	0.043036003	0	0	0.02607079	0.036869664	0.123319657	0.021539901	19545	19438122	0.100549837	0	19438110	0	15102	19438110	0.077692739	0	19438101	0	0	19438115	0	0	19438110	0	0	19438098	0	15203	19438102	0.078212369	0	19438115	0	24870	19438095	0.127944637	28590	19438108	0.147082216	18453	19438100	0.094932118
k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Bilophila	s__(Bilophila)	0.017721853	0.017721853	0.698424515		0	0	0	0	0.024431403	0.034551221	0.064828007	0.004310926	0	19438122	0	0	19438110	0	0	19438110	0	0	19438101	0	0	19438115	0	0	19438110	0	14247	19438098	0.073294208	0	19438102	0	0	19438115	0	13500	19438095	0.06945125	11483	19438108	0.059074679	12821	19438100	0.065958093
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Butyrivibrio	s__(Butyrivibrio)	0.018929942	0.018929942	0.693197693		0.062379156	0.046438812	0	0	0.023049233	0.032596537	0.120802263	0.022159966	21646	19438122	0.111358494	0	19438110	0	14730	19438110	0.075778972	0	19438101	0	0	19438115	0	0	19438110	0	0	19438098	0	13441	19438102	0.069147698	0	19438115	0	23512	19438095	0.120958355	28742	19438108	0.147864185	18191	19438100	0.093584249
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Blautia	s__(Blautia)	0.019458883	0.019458883	0.690985132		0.162224222	0.078139097	0	0	0.078154053	0.018624462	0.12906782	0.01542567	51145	19438122	0.263116982	14139	19438110	0.072738553	29316	19438110	0.150817132	0	19438101	0	0	19438115	0	0	19438110	0	12341	19438098	0.063488722	20300	19438102	0.104434065	12934	19438115	0.066539374	27501	19438095	0.141479914	26902	19438108	0.138398243	20862	19438100	0.107325304
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides sartorii	0.020448351	0.020448351	0.686960453		0.122312963	0.040415	0.490512421	0.086297987	0.280973885	0.133690956	0.267138591	0.066751018	24912	19438122	0.128160529	32778	19438110	0.168627505	13636	19438110	0.070150853	118326	19438101	0.608732304	88959	19438115	0.457652401	78754	19438110	0.405152559	78291	19438098	0.402770888	18435	19438102	0.094839506	67122	19438115	0.345311261	53377	19438095	0.274599954	35360	19438108	0.181910709	67043	19438100	0.344905109
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__(Alphaproteobacteria)	f__(Alphaproteobacteria)	g__(Alphaproteobacteria)	s__(Alphaproteobacteria)	0.02201943	0.02201943	0.68085023		0.036253519	0.032792771	0.025405421	0.000445609	0.117156491	0.027208509	0.086047493	0.028042766	5702	19438122	0.02933411	0	19438110	0	15439	19438110	0.079426446	4816	19438101	0.024776083	4994	19438115	0.025691792	5005	19438110	0.025748388	25084	19438098	0.129045548	27778	19438102	0.142904899	15457	19438115	0.079519027	12637	19438095	0.065011515	24430	19438108	0.125680956	13111	19438100	0.067450008
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides thetaiotaomicron	0.025107116	0.025107116	0.669704761		0.030790031	0.043543679	0.146121896	0.020045532	0.097233412	0.020834953	0.089161664	0.023985162	0	19438122	0	17955	19438110	0.092370092	0	19438110	0	28726	19438101	0.147781926	33006	19438115	0.169800415	23478	19438110	0.120783348	20875	19438098	0.107392194	13257	19438102	0.068201103	22569	19438115	0.116106937	18135	19438095	0.093296179	11262	19438108	0.057937738	22597	19438100	0.116251074
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Anaerotruncus	s__(Anaerotruncus)	0.025364194	0.025364194	0.668822372		0.057387252	0.019615655	0	0	0.012302299	0.017398077	0.052194742	0.022981697	13605	19438122	0.069991329	5770	19438110	0.029683956	14090	19438110	0.072486471	0	19438101	0	0	19438115	0	0	19438110	0	0	19438098	0	7174	19438102	0.036906896	0	19438115	0	6459	19438095	0.033228565	7546	19438108	0.038820651	16432	19438100	0.084535011
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides sp. CAG:927	0.026310144	0.026310144	0.665629983		0.594133444	0.249209794	0.367206524	0.072937198	1.204635517	0.395094564	0.376948695	0.098935178	101932	19438122	0.524392223	180422	19438110	0.928186948	64111	19438110	0.329821161	90153	19438101	0.463795306	68084	19438115	0.3502603	55897	19438110	0.287563966	255737	19438098	1.31564827	131185	19438102	0.67488585	315553	19438115	1.623372431	63284	19438095	0.325566883	56358	19438108	0.289935625	100173	19438100	0.515343578
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Dorea	s__Dorea sp. 5-2	0.028730019	0.028730019	0.657823634		0.262081294	0.125283924	0	0	0.136090092	0.0229466	0.239157434	0.077908637	80047	19438122	0.411804186	20444	19438110	0.105174834	52340	19438110	0.269264862	0	19438101	0	0	19438115	0	0	19438110	0	28842	19438098	0.148378715	30315	19438102	0.155956585	20203	19438115	0.103934975	42499	19438095	0.21863768	66705	19438108	0.343166115	30259	19438100	0.155668507
k__Bacteria	p__Firmicutes	c__Bacilli	o__(Bacilli)	f__(Bacilli)	g__(Bacilli)	s__(Bacilli)	0.030632254	0.030632254	0.652013021		0.123693405	0.039777513	0.036337547	0.031175527	0.042440694	0.010929723	0.038870395	0.013892315	31812	19438122	0.163657785	26824	19438110	0.137996955	13495	19438110	0.069425474	2912	19438101	0.014980887	15632	19438115	0.08041932	2646	19438110	0.013612435	6184	19438098	0.031813812	11172	19438102	0.057474747	7393	19438115	0.038033523	10128	19438095	0.052103871	8714	19438108	0.044829466	3825	19438100	0.019677849
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides acidifaciens	0.03270437	0.03270437	0.645971306		0.14990996	0.050611696	0.46093132	0.067511813	0.227400398	0.0742694	0.318691986	0.129347604	18376	19438122	0.094535882	42156	19438110	0.216872937	26887	19438110	0.138321061	73367	19438101	0.377439134	89915	19438115	0.462570573	105507	19438110	0.542784252	33511	19438098	0.172398555	34485	19438102	0.177409296	64611	19438115	0.332393342	57701	19438095	0.296844933	33498	19438108	0.172331587	94644	19438100	0.48689944
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__(Lachnospiraceae bacterium 10-1)	s__Lachnospiraceae bacterium 10-1	0.032988782	0.032988782	0.645163669		0.201993166	0.095814094	0.228712304	0.223696246	0.250917784	0.13509045	0.813548203	0.254959487	62337	19438122	0.320694561	16726	19438110	0.08604746	38728	19438110	0.199237477	103479	19438101	0.532351386	0	19438115	0	29893	19438110	0.153785528	13189	19438098	0.067851289	75764	19438102	0.389770565	57368	19438115	0.295131498	129630	19438095	0.666886338	227842	19438108	1.172140828	116943	19438100	0.601617442
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculum	s__Muribaculum intestinale	0.034742642	0.034742642	0.640290557		1.745812484	0.965539189	1.104473111	0.512748079	4.057586815	1.505838378	0.934967924	0.19055589	237861	19438122	1.223683029	602494	19438110	3.099550316	177704	19438110	0.914204107	330560	19438101	1.700577644	226259	19438115	1.163996612	87247	19438110	0.448845078	1051766	19438098	5.410848325	380391	19438102	1.95693489	933997	19438115	4.804977232	206874	19438095	1.064270959	129371	19438108	0.665553458	208975	19438100	1.075079354
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__(Rikenellaceae)	s__(Rikenellaceae)	0.039653323	0.039653323	0.627523181		0.274827762	0.08518783	0.177961394	0.074263625	0.581560468	0.125092162	0.253896578	0.167206658	51600	19438122	0.265457743	34113	19438110	0.175495457	74551	19438110	0.383530086	17617	19438101	0.090631281	52901	19438115	0.272150875	33259	19438110	0.171102026	91129	19438098	0.468816445	146951	19438102	0.755994592	101053	19438115	0.519870368	57864	19438095	0.297683492	5979	19438108	0.030759166	84215	19438100	0.433247077
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Acetatifactor	s__Acetatifactor muris	0.040144975	0.040144975	0.626308475		0.28275545	0.131061316	0.142572167	0.03029948	0.158271609	0.072759379	0.594060043	0.234691186	87383	19438122	0.449544457	25143	19438110	0.129348995	52361	19438110	0.269372897	22079	19438101	0.113586199	25218	19438115	0.129734802	35843	19438110	0.184395499	20673	19438098	0.106352998	50766	19438102	0.261167474	20856	19438115	0.107294354	107464	19438095	0.55285253	174919	19438108	0.899876675	64039	19438100	0.329450924
