# Pathway	DSS_339_Abundance
PWY-3841: folate transformations II|g__Parabacteroides.s__Parabacteroides_distasonis	20.9683598046
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_uniformis	9.5291622967
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	4.6961045407
PWY-6700: queuosine biosynthesis	5395.1956735479
PWY-6700: queuosine biosynthesis|unclassified	3512.1760373919
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_caecimuris	774.2286972459
PWY-6700: queuosine biosynthesis|g__Escherichia.s__Escherichia_coli	221.6849222800
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_sartorii	201.4283394535
PWY-6700: queuosine biosynthesis|g__Prevotella.s__Prevotella_sp_MGM2	155.1848266874
PWY-6700: queuosine biosynthesis|g__Helicobacter.s__Helicobacter_typhlonius	129.1572102054
PWY-6700: queuosine biosynthesis|g__Muribaculum.s__Muribaculum_intestinale	52.9863833551
PWY-6700: queuosine biosynthesis|g__Prevotella.s__Prevotella_sp_MGM1	51.3929587154
PWY-6700: queuosine biosynthesis|g__Lactobacillus.s__Lactobacillus_murinus	38.3072842738
PWY-6700: queuosine biosynthesis|g__Mucispirillum.s__Mucispirillum_schaedleri	18.8368158728
PWY-6700: queuosine biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	15.8743231510
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	13.1614920738
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	10.2946874133
PWY-6700: queuosine biosynthesis|g__Helicobacter.s__Helicobacter_hepaticus	9.7777979016
TRNA-CHARGING-PWY: tRNA charging	5289.6949278463
TRNA-CHARGING-PWY: tRNA charging|unclassified	3385.4842186438
TRNA-CHARGING-PWY: tRNA charging|g__Bacteroides.s__Bacteroides_caecimuris	755.8924579397
TRNA-CHARGING-PWY: tRNA charging|g__Escherichia.s__Escherichia_coli	214.1333142852
TRNA-CHARGING-PWY: tRNA charging|g__Alistipes.s__Alistipes_timonensis	182.5197450602
TRNA-CHARGING-PWY: tRNA charging|g__Bacteroides.s__Bacteroides_sartorii	144.4811148775
TRNA-CHARGING-PWY: tRNA charging|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	18.9591350985
TRNA-CHARGING-PWY: tRNA charging|g__Parabacteroides.s__Parabacteroides_distasonis	16.4930371420
TRNA-CHARGING-PWY: tRNA charging|g__Bacteroides.s__Bacteroides_uniformis	10.4765353193
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	4665.5272120299
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|unclassified	3032.0217902813
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Bacteroides.s__Bacteroides_caecimuris	885.8889990715
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Prevotella.s__Prevotella_sp_MGM2	148.0895158819
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Bacteroides.s__Bacteroides_sartorii	132.0478517203
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Alistipes.s__Alistipes_timonensis	131.0102234161
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Muribaculum.s__Muribaculum_intestinale	50.3168099222
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Prevotella.s__Prevotella_sp_MGM1	37.2917273903
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Mucispirillum.s__Mucispirillum_schaedleri	28.5034834513
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Parabacteroides.s__Parabacteroides_distasonis	21.8807419181
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Escherichia.s__Escherichia_coli	14.4824330569
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	9.6391562974
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	8.5027742063
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	8.3443853920
PWY-6123: inosine-5'-phosphate biosynthesis I	4541.7488282371
PWY-6123: inosine-5'-phosphate biosynthesis I|unclassified	2617.2544543775
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Bacteroides.s__Bacteroides_caecimuris	946.6421820881
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Bacteroides.s__Bacteroides_sartorii	162.1585325336
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Escherichia.s__Escherichia_coli	150.7086268578
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Alistipes.s__Alistipes_timonensis	111.3378916476
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Helicobacter.s__Helicobacter_typhlonius	101.7124158084
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Muribaculum.s__Muribaculum_intestinale	50.8606934694
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Mucispirillum.s__Mucispirillum_schaedleri	31.2414248148
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Lactobacillus.s__Lactobacillus_murinus	30.8217697309
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Parabacteroides.s__Parabacteroides_distasonis	11.6800683534
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	10.6872320385
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	10.2233028008
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	8.7982099661
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Helicobacter.s__Helicobacter_hepaticus	5.8541524378
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	4540.5876306058
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified	2389.0542489509
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_caecimuris	743.1440399317
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Escherichia.s__Escherichia_coli	331.6553588058
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Helicobacter.s__Helicobacter_typhlonius	157.2619726980
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Prevotella.s__Prevotella_sp_MGM2	157.1638385722
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Alistipes.s__Alistipes_timonensis	155.4928708500
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_sartorii	146.8685330267
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Muribaculum.s__Muribaculum_intestinale	46.1147521243
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Lactobacillus.s__Lactobacillus_murinus	36.2645017149
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Mucispirillum.s__Mucispirillum_schaedleri	25.7401323507
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Parabacteroides.s__Parabacteroides_distasonis	19.8036785047
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Helicobacter.s__Helicobacter_hepaticus	18.4893637371
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	8.7403510800
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	7.0726906506
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	6.4239945572
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	4540.5876306058
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|unclassified	2389.0542489509
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bacteroides.s__Bacteroides_caecimuris	743.1440399317
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Escherichia.s__Escherichia_coli	331.6553588058
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Helicobacter.s__Helicobacter_typhlonius	157.2619726980
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Prevotella.s__Prevotella_sp_MGM2	157.1638385722
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Alistipes.s__Alistipes_timonensis	155.4928708500
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bacteroides.s__Bacteroides_sartorii	146.8685330267
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Muribaculum.s__Muribaculum_intestinale	46.1147521243
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Lactobacillus.s__Lactobacillus_murinus	36.2645017149
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Mucispirillum.s__Mucispirillum_schaedleri	25.7401323507
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	19.8036785047
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Helicobacter.s__Helicobacter_hepaticus	18.4893637371
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	8.7403510800
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	7.0726906506
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	6.4239945572
PWY-7219: adenosine ribonucleotides de novo biosynthesis	4473.1017226315
PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	2446.3953514155
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_caecimuris	877.1475388068
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Escherichia.s__Escherichia_coli	213.9252021666
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_sartorii	150.7420768233
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_sp_MGM2	129.8937657515
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Alistipes.s__Alistipes_timonensis	113.1463153685
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Helicobacter.s__Helicobacter_typhlonius	108.2486394216
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Muribaculum.s__Muribaculum_intestinale	54.8856817547
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Mucispirillum.s__Mucispirillum_schaedleri	48.8008035488
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Lactobacillus.s__Lactobacillus_murinus	40.0133706353
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_sp_MGM1	31.6670466555
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	26.0461571399
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	16.9691853786
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	10.1245316153
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Lactobacillus.s__Lactobacillus_reuteri	8.3624221047
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	8.0620386500
PWY-6124: inosine-5'-phosphate biosynthesis II	4469.8077131809
PWY-6124: inosine-5'-phosphate biosynthesis II|unclassified	2598.3397732365
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Bacteroides.s__Bacteroides_caecimuris	918.1071438799
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Bacteroides.s__Bacteroides_sartorii	157.7264256822
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Escherichia.s__Escherichia_coli	151.2524244546
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Alistipes.s__Alistipes_timonensis	102.7091346412
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Helicobacter.s__Helicobacter_typhlonius	98.3406168155
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Muribaculum.s__Muribaculum_intestinale	49.5311015617
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Mucispirillum.s__Mucispirillum_schaedleri	36.8282690947
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Lactobacillus.s__Lactobacillus_murinus	24.1651142196
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Parabacteroides.s__Parabacteroides_distasonis	10.3324785572
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	10.2170578474
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	9.6295174773
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	8.1983710030
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Helicobacter.s__Helicobacter_hepaticus	5.8656976505
PWY-7221: guanosine ribonucleotides de novo biosynthesis	4258.6710204582
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	2529.4839917559
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_caecimuris	733.9208053703
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_sartorii	211.3432816953
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Escherichia.s__Escherichia_coli	209.8933930206
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Helicobacter.s__Helicobacter_typhlonius	142.6852652292
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_sp_MGM2	124.3819389510
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Alistipes.s__Alistipes_timonensis	107.7455487091
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Muribaculum.s__Muribaculum_intestinale	59.0068896032
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Lactobacillus.s__Lactobacillus_murinus	38.8532888307
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Mucispirillum.s__Mucispirillum_schaedleri	37.0185624905
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_sp_MGM1	36.8012411701
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	26.9434738938
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	12.1476591485
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	10.0829142322
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Lactobacillus.s__Lactobacillus_reuteri	6.8922974436
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	5.5788267692
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	4175.6179075377
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified	1370.5619522854
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_caecimuris	915.8090292268
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Escherichia.s__Escherichia_coli	498.9325891338
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Helicobacter.s__Helicobacter_typhlonius	191.8421209613
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Mucispirillum.s__Mucispirillum_schaedleri	44.5562642133
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Parabacteroides.s__Parabacteroides_distasonis	19.2368262594
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	13.3307528840
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_uniformis	11.1438247074
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	7.7763775934
PWY-7111: pyruvate fermentation to isobutanol (engineered)	4175.6179075377
PWY-7111: pyruvate fermentation to isobutanol (engineered)|unclassified	1370.5619522854
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_caecimuris	817.4848351370
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Escherichia.s__Escherichia_coli	605.2231097210
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Helicobacter.s__Helicobacter_typhlonius	191.8421209613
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Prevotella.s__Prevotella_sp_MGM2	140.4634262532
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_sartorii	127.3640058691
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Alistipes.s__Alistipes_timonensis	115.8440742470
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Muribaculum.s__Muribaculum_intestinale	60.0085879841
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Helicobacter.s__Helicobacter_ganmani	44.7726633808
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Mucispirillum.s__Mucispirillum_schaedleri	42.4251787744
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Prevotella.s__Prevotella_sp_MGM1	38.4593702870
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Helicobacter.s__Helicobacter_hepaticus	26.8046782579
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Parabacteroides.s__Parabacteroides_distasonis	19.2368262594
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	15.2286791805
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	14.7818363183
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_uniformis	6.4556765072
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	4.7156454459
VALSYN-PWY: L-valine biosynthesis	4175.6179075377
VALSYN-PWY: L-valine biosynthesis|unclassified	1370.5619522854
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_caecimuris	915.8090292268
VALSYN-PWY: L-valine biosynthesis|g__Escherichia.s__Escherichia_coli	498.9325891338
VALSYN-PWY: L-valine biosynthesis|g__Helicobacter.s__Helicobacter_typhlonius	191.8421209613
VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_sp_MGM2	140.4634262532
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_sartorii	127.3640058691
VALSYN-PWY: L-valine biosynthesis|g__Alistipes.s__Alistipes_timonensis	115.8440742470
VALSYN-PWY: L-valine biosynthesis|g__Muribaculum.s__Muribaculum_intestinale	60.0085879841
VALSYN-PWY: L-valine biosynthesis|g__Mucispirillum.s__Mucispirillum_schaedleri	44.5562642133
VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_sp_MGM1	38.4593702870
VALSYN-PWY: L-valine biosynthesis|g__Helicobacter.s__Helicobacter_ganmani	23.1539456684
VALSYN-PWY: L-valine biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	19.2368262594
VALSYN-PWY: L-valine biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	15.2286791805
VALSYN-PWY: L-valine biosynthesis|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	13.3307528840
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	11.1438247074
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	7.7763775934
PWY-5686: UMP biosynthesis	4059.1828210376
PWY-5686: UMP biosynthesis|unclassified	1538.9836923383
PWY-5686: UMP biosynthesis|g__Bacteroides.s__Bacteroides_caecimuris	803.4233266488
PWY-5686: UMP biosynthesis|g__Escherichia.s__Escherichia_coli	192.8411213431
PWY-5686: UMP biosynthesis|g__Bacteroides.s__Bacteroides_sartorii	165.1109785233
PWY-5686: UMP biosynthesis|g__Alistipes.s__Alistipes_timonensis	145.6560539451
PWY-5686: UMP biosynthesis|g__Helicobacter.s__Helicobacter_typhlonius	138.3684905028
PWY-5686: UMP biosynthesis|g__Muribaculum.s__Muribaculum_intestinale	52.0034943040
PWY-5686: UMP biosynthesis|g__Prevotella.s__Prevotella_sp_MGM1	46.2191846354
PWY-5686: UMP biosynthesis|g__Lactobacillus.s__Lactobacillus_murinus	36.9638382501
PWY-5686: UMP biosynthesis|g__Mucispirillum.s__Mucispirillum_schaedleri	29.5720238257
PWY-5686: UMP biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	17.5268216746
PWY-5686: UMP biosynthesis|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	15.1111606111
PWY-5686: UMP biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	9.2932553637
PWY-5686: UMP biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	5.0385827715
PWY-5973: cis-vaccenate biosynthesis	3979.9228623824
PWY-5973: cis-vaccenate biosynthesis|unclassified	1084.4956394895
PWY-5973: cis-vaccenate biosynthesis|g__Bacteroides.s__Bacteroides_caecimuris	838.4623387272
PWY-5973: cis-vaccenate biosynthesis|g__Alistipes.s__Alistipes_timonensis	157.0527953798
PWY-5973: cis-vaccenate biosynthesis|g__Escherichia.s__Escherichia_coli	151.6751344447
PWY-5973: cis-vaccenate biosynthesis|g__Helicobacter.s__Helicobacter_typhlonius	141.1620259435
PWY-5973: cis-vaccenate biosynthesis|g__Bacteroides.s__Bacteroides_sartorii	138.9024036008
PWY-5973: cis-vaccenate biosynthesis|g__Prevotella.s__Prevotella_sp_MGM1	33.1025481189
PWY-5973: cis-vaccenate biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	18.2516456648
PWY-5973: cis-vaccenate biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	9.9995546307
PWY-5973: cis-vaccenate biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	7.8657619525
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	3916.8358511387
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified	1676.5058012679
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_caecimuris	717.2236224282
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Escherichia.s__Escherichia_coli	209.9406850244
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_sartorii	157.8176826259
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Alistipes.s__Alistipes_timonensis	103.9667634306
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Muribaculum.s__Muribaculum_intestinale	57.3170988088
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Prevotella.s__Prevotella_sp_MGM1	42.4284719006
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	20.1572116673
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	9.4158294336
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	4.5991355672
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation	3736.6414618006
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|unclassified	1178.6573858510
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_caecimuris	679.3476565968
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|g__Escherichia.s__Escherichia_coli	445.5895218065
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_sartorii	168.1087870995
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|g__Alistipes.s__Alistipes_timonensis	110.8379650686
