Sample_ID,Control,Control,Control,DSS,DSS,DSS,Control,DSS,RCJ,RCJ_plus_DSS,RCJ,RCJ,RCJ,RCJ_plus_DSS,RCJ_plus_DSS,RCJ_plus_DSS,Start
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500,1579.58,689.625,927.352,1139.8,175.418,796.338,813.026,495.454,447.55,922.483,238.954,1028.99,889.427,2136.69,2714.45,1323.51,552.34
UNINTEGRATED|g__Helicobacter.s__Helicobacter_apodemus,0.0,0.0,0.0,11536.5,0.0,0.0,0.0,297.862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607.675
UNINTEGRATED|g__Helicobacter.s__Helicobacter_ganmani,0.0,0.0,0.0,0.0,1891.14,128.947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18892.9,0.0,87.3934
UNINTEGRATED|g__Helicobacter.s__Helicobacter_hepaticus,0.0,0.0,0.0,1789.81,412.516,0.0,0.0,953.23,406.889,249.247,285.158,200.457,672.816,2275.3,8014.7,0.0,1108.51
UNINTEGRATED|g__Helicobacter.s__Helicobacter_typhlonius,26135.8,41559.5,30225.9,27494.5,6119.93,13961.3,43511.3,20606.8,11909.8,36814.9,31190.9,26656.0,12629.4,22025.9,45126.1,18084.5,25350.6
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1,0.0,0.0,0.0,4295.2,0.0,1968.32,0.0,1723.55,1447.59,3587.59,0.0,3884.26,2339.88,7093.59,10035.2,6085.84,2520.02
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4,2384.99,2832.7,2520.76,1794.24,0.0,2980.16,3918.89,2785.8,1316.18,5334.37,3640.5,4144.49,3616.76,0.0,8140.24,0.0,1773.36
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_3_2,3010.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.458
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2,0.0,4186.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3835.79,0.0,10804.5,0.0,0.0,0.0,3237.11
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,12813.1,2766.96,5754.24,0.0,0.0,0.0,3983.57,0.0,2827.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3546.94
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_COE1,7689.93,0.0,3960.41,0.0,0.0,2261.58,1829.64,0.0,3996.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2711.39
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_M18_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_intestinalis,1127.22,697.283,251.356,0.0,0.0,0.0,97.4205,0.0,10.7052,0.0,0.0,26.0304,0.0,0.0,0.0,0.0,0.0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_johnsonii,7309.85,6375.8,5098.49,0.0,1429.92,0.0,6046.28,888.253,7052.54,1491.48,5843.17,5292.04,5961.54,1517.43,6349.49,0.0,5606.34
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_murinus,1041.71,1199.36,253.64,0.0,1721.41,0.0,355.645,940.983,515.992,755.14,406.026,0.0,0.0,0.0,0.0,0.0,476.853
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_reuteri,1611.19,1211.82,886.822,0.0,605.3,0.0,669.878,1210.84,665.457,658.146,0.0,534.533,421.188,686.264,552.0,435.035,0.0
UNINTEGRATED|g__Mucispirillum.s__Mucispirillum_schaedleri,1233.72,1498.84,4879.17,2495.33,1073.09,2410.8,2643.52,464.96,1865.3,2055.79,4738.88,6232.4,930.791,10274.4,7631.92,3046.94,2828.25
UNINTEGRATED|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720,17695.8,14357.9,8500.01,0.0,0.0,0.0,11795.8,0.0,18907.6,0.0,10063.9,7631.32,12925.0,0.0,0.0,0.0,17004.9
UNINTEGRATED|g__Muribaculum.s__Muribaculum_intestinale,5277.98,11547.5,2786.92,12325.0,6391.54,5446.96,10640.6,7448.16,27001.7,3433.83,27194.2,7210.58,32233.2,7347.76,4571.65,4451.46,17131.9
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_1_3,1348.2,543.691,800.294,1016.92,1680.65,0.0,2168.56,659.389,2904.4,967.774,2040.48,3490.98,2827.65,1649.39,2909.21,1422.73,1193.0
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis,2700.38,3627.68,2118.94,15237.7,4579.91,3546.36,6730.8,10116.4,11825.2,6202.79,5499.36,5183.31,8019.76,4895.03,2862.97,6258.19,5618.37
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_MGM1,4285.25,2814.54,1107.93,7560.27,4006.3,0.0,4492.19,0.0,14518.0,1492.04,8133.41,8766.77,7457.69,4563.65,3095.42,6740.88,6870.97
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_MGM2,4528.21,7336.49,2698.28,7632.09,13161.1,9038.56,11003.5,21548.7,32590.4,5651.91,14107.5,13741.8,18500.8,14797.1,2624.19,7366.29,9142.29
UNINTEGRATED|g__Romboutsia.s__Romboutsia_ilealis,0.0,0.0,0.0,432.438,99.3178,640.038,0.0,593.896,323.909,731.41,358.839,0.0,193.197,253.923,268.718,125.129,0.0
UNINTEGRATED|unclassified,191590.0,174058.0,111098.0,162365.0,113066.0,151050.0,137842.0,161381.0,227001.0,159044.0,166336.0,187349.0,214254.0,172675.0,163973.0,178087.0,196096.0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis,164.297,149.391,98.5325,287.94,199.645,143.349,169.692,265.099,280.189,238.344,189.553,211.389,196.324,220.684,176.579,188.839,192.877
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Alistipes.s__Alistipes_timonensis,0.0,0.0,0.0,0.997877,5.29929,2.72791,0.0,2.93673,1.27408,4.45901,1.75949,0.0,0.0,1.23623,1.49626,4.31391,0.901871
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_caecimuris,0.815284,1.65216,0.0,11.2845,36.5576,5.8034,3.15441,29.3771,5.24993,34.3097,2.72105,2.9934,0.610682,4.56689,10.6281,5.68252,2.70457
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_faecichinchillae,0.0988689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114924
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_sartorii,1.17455,0.6037,0.0,16.281,8.04413,6.82936,3.90665,16.5251,11.8273,10.7628,3.61576,0.0,0.888408,6.27727,3.08323,7.60813,3.33314
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_uniformis,0.0,0.260176,0.0,0.0,0.479934,0.0,3.08736,0.0,6.98376,1.22672,0.0,0.0,0.311531,0.590046,0.171516,0.0,1.49044
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,0.0,0.0,0.0,0.0,0.234423,0.0,2.64733,0.0,5.60356,1.12338,0.16001,0.0,0.376975,0.407211,0.455132,0.0,1.30131
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Escherichia.s__Escherichia_coli,0.0,0.0,0.0,0.0,10.7009,0.0,0.0,1.21077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.582849,0.0,0.865311,0.0,0.0,0.0,0.0,0.0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2,0.0,1.15826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.600164,0.0,3.34283,0.0,0.0,0.0,0.0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720,18.3168,12.3571,9.2047,0.0,0.0,0.0,9.73242,0.0,10.785,0.0,6.29345,5.00173,3.92473,0.0,0.0,0.0,11.9293
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Muribaculum.s__Muribaculum_intestinale,1.96697,6.85121,1.20652,6.70249,2.92151,0.0,6.85762,1.63077,18.1185,0.941049,21.0225,2.70628,21.4,4.09335,1.52036,0.0,9.35636
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis,0.852541,0.684298,0.328001,7.04123,1.02743,1.05561,2.61127,4.2302,5.04899,1.92881,1.41094,0.573856,2.92984,1.96338,0.762569,1.76059,2.21842
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Prevotella.s__Prevotella_sp_MGM1,4.53138,2.09337,0.799261,4.86076,2.16262,0.0,4.27784,0.0,13.8281,0.428536,8.10842,9.06949,5.13237,2.97497,2.39784,5.86322,6.0516
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified,126.949,103.032,66.5081,170.266,85.4532,99.6149,95.4902,140.623,145.812,135.366,107.249,154.18,125.37,147.83,118.054,128.188,122.209
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation,0.0,0.0,0.0,0.342412,6.92095,0.0,0.0,1.39859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|g__Escherichia.s__Escherichia_coli,0.0,0.0,0.0,0.0,6.63323,0.0,0.0,1.01347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|unclassified,0.0,0.0,0.0,0.342412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism,0.0,0.0,0.0,0.0,5.19057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast,0.686184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast|unclassified,0.686184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANAEROFRUCAT-PWY: homolactic fermentation,103.289,121.982,75.5254,141.482,112.828,73.2091,109.423,121.866,119.066,146.603,104.855,104.55,90.3119,107.745,132.013,107.275,102.728
ANAEROFRUCAT-PWY: homolactic fermentation|g__Escherichia.s__Escherichia_coli,0.0,0.0,0.0,0.0,10.9437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified,35.6833,52.6796,18.5193,38.5404,35.4396,27.7831,38.5497,57.4817,49.7673,62.079,37.8506,47.5108,48.5367,45.3309,32.2481,52.817,38.5851
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose),177.516,161.448,91.2635,238.909,163.785,129.932,139.33,203.854,181.004,183.911,181.703,184.338,162.526,171.482,137.474,176.076,175.142
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Escherichia.s__Escherichia_coli,0.0,0.0,0.0,0.0,13.9561,0.0,0.0,1.27736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Lactobacillus.s__Lactobacillus_intestinalis,3.48394,2.01688,0.616468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Lactobacillus.s__Lactobacillus_reuteri,1.47275,1.17808,0.698876,0.0,0.0,0.0,0.0,1.07641,0.0,0.678064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified,77.7844,87.4465,49.2655,134.554,99.1317,100.464,81.3131,113.45,85.4775,122.884,96.3435,146.293,99.8039,131.584,105.095,139.18,95.243
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis,6.49238,1.78865,4.75683,10.0183,48.0316,0.0,5.61758,19.6355,0.0,8.5877,0.0,4.69377,4.90439,2.95415,0.0,0.0,0.0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|g__Escherichia.s__Escherichia_coli,0.0,0.0,0.0,0.0,10.7418,0.0,0.0,1.38944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|unclassified,6.21161,1.73754,3.8199,9.5207,3.55331,0.0,5.27404,9.64953,0.0,7.0693,0.0,4.63091,4.66732,2.91048,0.0,0.0,0.0
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",0.0,0.0,0.0,0.980204,10.83,0.0,0.0,2.13494,0.0,0.567533,0.0,0.0,0.0,0.705785,0.0,0.0,0.0
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|g__Escherichia.s__Escherichia_coli",0.0,0.0,0.0,0.0,8.70445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|unclassified",0.0,0.0,0.0,0.742107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis,5.28652,10.9732,6.5117,54.0077,62.6993,42.6102,30.0574,78.3483,55.1255,84.9582,16.1335,10.1251,9.88906,36.4193,29.4126,44.0348,25.3009
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_caecimuris,0.0,1.694,0.861214,6.67963,32.9251,2.2659,3.16469,31.4637,6.12066,30.8065,3.09938,2.17173,0.0,3.3253,9.02696,2.41667,1.47462
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_sartorii,0.921365,0.644967,0.0,15.1731,7.08763,6.57162,2.68653,18.6528,9.85983,10.3057,3.24673,0.0,0.696214,6.06697,3.61487,5.266,3.32449
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_uniformis,0.0,0.248837,0.0,0.0,0.310479,0.0,2.87503,0.0,6.66498,0.986014,0.0909486,0.0,0.63507,0.809468,0.260285,0.0,1.06066
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,0.0,0.357484,0.0,0.0,0.33223,0.0,2.76859,0.0,6.75085,0.833333,0.177933,0.0,0.671759,0.619708,0.174687,0.0,1.52871
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Escherichia.s__Escherichia_coli,0.0,0.0,0.0,0.0,9.22766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|unclassified,0.0,0.464025,0.336553,0.753302,3.42054,0.0,0.0,1.36831,4.14767,3.72218,0.531522,0.0,0.0,2.25393,0.0,0.0,0.691876
"ARGORNPROST-PWY: arginine, ornithine and proline interconversion",0.183192,0.0,0.0,0.0,0.0,0.0,1.76287,0.0,0.819127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997713
"ARGORNPROST-PWY: arginine, ornithine and proline interconversion|unclassified",0.182983,0.0,0.0,0.0,0.0,0.0,1.75696,0.0,0.817116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996047
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine),255.367,148.134,156.946,197.712,91.0871,106.905,165.435,166.694,137.849,206.414,175.209,208.43,144.608,267.845,312.925,210.919,150.576
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Bifidobacterium.s__Bifidobacterium_pseudolongum,1.30966,0.912119,0.0,0.0,0.681651,1.36878,0.0,3.22528,2.49775,0.594407,1.72348,0.628514,1.82745,0.0,0.0,1.06557,0.836868
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Clostridium.s__Clostridium_sp_ASF502,0.0,0.0,0.0,0.0,0.0,0.617256,0.0,0.0,0.0,0.715811,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Escherichia.s__Escherichia_coli,0.0,0.0,0.0,0.0,11.4807,0.0,0.0,1.51648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Faecalibaculum.s__Faecalibaculum_rodentium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31198,0.0,0.0,0.0,0.0,0.519975,0.0,1.40891,0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11974,0.0,1.28096,0.0,0.0,0.0,0.0,0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Helicobacter.s__Helicobacter_typhlonius,27.2035,45.5855,32.139,26.1712,5.8983,15.2974,47.2253,21.2636,11.5728,37.7983,31.3021,25.549,11.435,22.5504,46.7325,19.1194,27.4077
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1,0.0,0.0,0.0,2.88896,0.0,0.0,0.0,0.0,0.0,0.611332,0.0,1.44728,0.0,1.40924,3.46236,2.23727,0.896981
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4,0.0,0.56647,0.0,0.0,0.0,1.17787,1.66264,0.90843,0.0,1.49259,1.13467,0.856212,0.0,0.0,1.00747,0.0,0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2,0.0,1.1306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.918024,0.0,4.11635,0.0,0.0,0.0,0.651246
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_COE1,0.0,0.0,0.954501,0.0,0.0,0.65422,0.0,0.0,1.45802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|unclassified,189.682,72.4965,98.0056,121.314,47.6845,68.5668,83.4901,106.999,86.792,122.258,104.468,143.245,100.458,198.654,203.237,157.896,86.4034
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle),255.584,159.522,165.531,200.814,79.7539,110.059,179.537,166.11,135.418,212.482,183.715,212.155,145.023,281.791,333.121,207.499,155.998
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012,0.911337,0.0,0.719384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Bifidobacterium.s__Bifidobacterium_pseudolongum,1.29758,1.05632,0.0,0.0,0.723568,1.40261,0.0,3.52451,2.67699,0.889467,1.70001,0.595303,2.84639,0.48559,0.0,1.16162,0.807383
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Clostridium.s__Clostridium_sp_ASF502,0.520567,0.0,0.0,0.0,0.0,0.599541,0.0,0.0,0.0,0.703363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Escherichia.s__Escherichia_coli,0.0,0.0,0.0,0.0,9.75094,0.0,0.0,0.934154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Faecalibaculum.s__Faecalibaculum_rodentium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39585,0.498042,0.717387,0.0,0.0,0.591738,0.0,1.40095,0.0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500,1.8044,0.0,1.00429,0.0,0.0,1.18315,1.29355,0.0,0.0,1.30617,0.0,1.28281,0.0,1.53788,3.11568,1.94625,0.660648
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Helicobacter.s__Helicobacter_hepaticus,0.0,0.0,0.0,2.15056,0.0,0.0,0.0,1.25964,0.0,0.0,0.0,0.0,0.0,3.19034,10.2757,0.0,1.726
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Helicobacter.s__Helicobacter_typhlonius,31.6304,52.5901,39.09,30.8941,6.95078,17.837,55.1664,26.0208,13.8539,45.0433,36.4912,30.4111,14.1675,26.5461,54.3627,22.7996,31.6867
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1,0.0,0.0,0.0,3.24463,0.0,0.0,0.0,0.0,0.336935,0.75775,0.0,1.38808,1.12234,1.74925,4.33282,2.12278,0.871574
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4,0.0,0.650902,0.548406,0.0,0.0,1.12089,1.81212,0.907308,0.626956,1.51482,1.27014,0.795101,0.0,0.0,0.948752,0.0,0.507149
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2,0.0,1.24876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.979518,0.0,4.40335,0.0,0.0,0.0,0.619648
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_COE1,0.0,0.0,0.834043,0.0,0.0,0.761171,0.0,0.0,1.62681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
