Sample_ID	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE+DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Helicobacter.s__Helicobacter_hepaticus	0	0	0	4.02666	0.973734	0	0	2.21923	0	0.414401	1.18502	0.596502	1.06804	4.91103	15.9356	0	3.08386
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|unclassified	0	0	0	0	2.1584	0	0	0	0	0	0	0	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Clostridium.s__Clostridium_sp_ASF502	0.462868	0	0	0	0	0	0	0	0	0.733736	0	0	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Escherichia.s__Escherichia_coli	0	0	0	0.449213	7.69285	0	0	1.82838	0	0	0	0	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Helicobacter.s__Helicobacter_hepaticus	0	0	0	3.33761	0.46337	0	0	2.05089	0.523573	0.273499	0.903568	0.411602	1.14855	4.43453	14.7051	0	2.60461
ARO-PWY: chorismate biosynthesis I|unclassified	26.0585	6.80638	9.98661	0	0	6.01854	10.7749	0	11.2362	12.6241	8.26099	0	11.3709	4.87974	10.3545	0	9.21067
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	0.761897	3.32448	0	0	0	0	0	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Bacteroides.s__Bacteroides_xylanisolvens	0	2.83147	0	15.5336	36.217	8.55255	6.75777	33.4071	4.65824	29.6417	0	4.84126	0	5.81204	12.8008	9.34359	4.42299
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	1.0858	12.8383	0	0	4.42506	0	0.536254	0	0	0	0	0	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|unclassified	14.1594	17.8342	13.133	37.9712	15.3701	14.2807	19.6868	26.0541	29.8807	21.2245	22.6007	25.2925	39.2528	22.1357	18.1598	28.8396	24.7271
AST-PWY: L-arginine degradation II (AST pathway)|g__Escherichia.s__Escherichia_coli	0	0	0	0.408331	5.29661	0	0	1.10659	0	0.0700892	0	0	0	0	0	0	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I|g__Escherichia.s__Escherichia_coli	0	0	0	0	6.15516	0	0	1.24876	0	0	0	0	0	0	0	0	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I|unclassified	0	0	0	0	0	0	0	0	0	0	2.44131	0	0	0	0	6.29941	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0.735956	3.15343	0	0	1.22415	0	0	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Helicobacter.s__Helicobacter_hepaticus	0.336327	0.268117	0.28588	6.44794	0.953029	0	0	4.04174	0.232858	0.640436	1.9007	0.920036	0	6.03636	25.013	0.233086	3.76493
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|unclassified	86.0956	81.0375	67.6061	153.417	55.9685	66.9787	89.704	90.1117	52.983	105.808	61.3282	82.3069	59.9555	123.38	123.042	121.049	75.6097
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Helicobacter.s__Helicobacter_hepaticus	0	0	0	2.63071	0	0	0	1.35615	0.437282	0.440275	0.814108	0.36167	1.33574	4.27506	12.566	0	1.92076
CALVIN-PWY: Calvin-Benson-Bassham cycle|unclassified	73.025	60.1485	40.408	136.422	59.2215	58.7619	72.3338	103.182	118.294	97.6681	97.6012	95.8878	126.782	102.644	88.1741	114.49	81.0785
CENTFERM-PWY: pyruvate fermentation to butanoate|unclassified	0	0	0	0	0	0	0	0.95853	0	0	0	0	0	0	0	0	0
CITRULBIO-PWY: L-citrulline biosynthesis|g__Helicobacter.s__Helicobacter_hepaticus	0	0	0	6.70047	0	0	0	2.5677	0	0.556388	1.01637	1.51762	1.55821	6.36767	22.8684	0	3.28154
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Alistipes.s__Alistipes_indistinctus	0	0	0	1.31041	0	0	0	0	0	0	0	0	0	0	0	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012	1.18583	0.815095	1.16526	0	0	0	1.12376	0	0	0	0	0	0	0	0	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	0	1.46777	0	0	0	0	0	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Bacteroides.s__Bacteroides_vulgatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.417532	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Bacteroides.s__Bacteroides_xylanisolvens	0	2.12107	0	15.7596	42.7995	11.5866	6.81297	40.0341	7.05353	40.8625	0	4.68923	0	6.73242	12.344	10.2581	4.86454
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Clostridium.s__Clostridium_sp_ASF502	0.758212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Dorea.s__Dorea_sp_5_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.520158	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Enterorhabdus.s__Enterorhabdus_caecimuris	0	0	0	0	0	0	0.416783	0	0	0	0	0	0	0	0	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Escherichia.s__Escherichia_coli	0	0	0	0.640936	9.85696	0	0	1.88993	0	0.443531	0	0	0	0	0	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Helicobacter.s__Helicobacter_hepaticus	0	0	0	4.74837	0.4746	0	0	1.3687	0.44544	0.495812	0	0	0.48059	4.28	13.7808	0	1.92059
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Lactobacillus.s__Lactobacillus_johnsonii	5.76525	3.00027	2.19026	0	0	0	1.77103	0.678403	4.61849	0	0	2.39399	1.4309	1.40218	1.19742	0	0.698474
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Lactobacillus.s__Lactobacillus_murinus	1.32546	1.82543	0.652516	0.476304	2.74167	0	0.600874	1.3114	0.464978	1.88392	0.823534	0	0	0	0	0	0.544532
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Lactobacillus.s__Lactobacillus_reuteri	3.01765	2.08657	1.00357	0	0.840479	0	1.47	2.22967	0.720834	0.523645	0.29702	0.156954	0.462556	0.827781	0.49675	0.309735	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Lactobacillus.s__Lactobacillus_sp_ASF360	5.46101	3.31675	0.978656	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|unclassified	12.624	3.7117	10.701	6.58258	3.94256	4.52947	2.85783	6.68091	3.44645	17.7325	6.23699	4.82867	2.93963	8.42117	13.828	2.71961	2.40146
COA-PWY: coenzyme A biosynthesis I|g__Bacteroides.s__Bacteroides_xylanisolvens	0	1.4673	0	15.7399	42.5629	7.14248	5.27496	41.7281	7.05353	40.8625	0	3.63638	0	5.79792	12.6778	8.08741	4.20341
COA-PWY: coenzyme A biosynthesis I|g__Escherichia.s__Escherichia_coli	0	0	0	0.571213	8.01726	0	0	1.69787	0	0.494889	0	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I|g__Lactobacillus.s__Lactobacillus_johnsonii	4.52333	3.0782	1.65518	0	0	0	1.7367	0.61953	4.38088	0	0	1.66791	1.63602	1.48453	0.971698	0	0.666564
COA-PWY: coenzyme A biosynthesis I|g__Lactobacillus.s__Lactobacillus_reuteri	2.47725	2.16909	0.826026	0	0.847807	0	1.68699	1.62878	0.256602	0.589248	0.296853	0.200565	0.483035	0.868065	0.403109	0.247534	0
COA-PWY: coenzyme A biosynthesis I|unclassified	0.815323	0.652809	1.22362	1.7827	0.848296	1.96115	1.85715	1.63184	2.28929	2.69759	3.93057	1.07828	1.35316	1.00967	1.17386	1.62512	1.2455
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I|g__Escherichia.s__Escherichia_coli	0	0	0	0.309154	8.89377	0	0	0.674985	0	0	0	0	0	0	0	0	0
COLANSYN-PWY: colanic acid building blocks biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0	3.2692	0	0	0.713637	0	0	0	0	0	0	0	0	0
COLANSYN-PWY: colanic acid building blocks biosynthesis|unclassified	0	0	2.66282	0	0	0	0	0	0	0	6.217	0	0	0	0	0	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|g__Clostridium.s__Clostridium_sp_ASF502	0	0	0	0	0	0	0	0	0	0.730453	0	0	0	0	0	0	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0	7.89676	0	0	1.88621	0	0	0	0	0	0	0	0	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|g__Helicobacter.s__Helicobacter_hepaticus	0	0	0	3.77018	0.525011	0	0	2.32133	0.595804	0.312342	1.03002	0.46966	1.30114	4.96936	16.3363	0	2.94804
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|unclassified	27.9828	7.3446	10.5057	0	0	6.54911	11.4945	0	11.8116	13.5624	8.88524	0	12.2215	5.43765	11.2436	0	9.97152
DAPLYSINESYN-PWY: L-lysine biosynthesis I|g__Escherichia.s__Escherichia_coli	0	0	0	0.419822	6.51405	0	0	0.952023	0	0	0	0	0	0	0	0	0
DAPLYSINESYN-PWY: L-lysine biosynthesis I|g__Helicobacter.s__Helicobacter_hepaticus	0	0	0	3.46356	0.755862	0	0	1.61485	0	0.373396	1.21559	0.401154	2.06594	5.90695	15.0845	0	2.77421
DAPLYSINESYN-PWY: L-lysine biosynthesis I|unclassified	0	0	0	0	2.41662	0	0	0	0	0.237165	0	0	0	0	0	0	0
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II|unclassified	43.258	37.0433	31.7785	86.4472	35.6682	37.0568	44.398	55.8016	49.0779	57.7637	50.098	52.2865	46.8396	64.5806	57.272	72.8167	45.9665
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	0	1.2831	0	0	0	0	0	0	0
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Bacteroides.s__Bacteroides_xylanisolvens	0	2.71924	0	12.4221	44.8057	3.61213	4.26962	45.3497	7.7168	39.5927	0	4.19764	0	4.72214	14.0021	4.09709	2.20293
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Lactobacillus.s__Lactobacillus_reuteri	2.21668	2.38079	1.48274	0	0.435938	0	1.01282	1.4645	1.27601	1.08037	0	0.849917	0.730384	1.1928	0.433415	0.152691	0
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|unclassified	47.2418	50.045	37.5246	60.8261	38.6551	41.7742	54.4541	65.9371	70.1649	43.6652	53.8572	38.908	63.0515	53.4935	39.4161	78.4713	70.3903
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0	7.40377	0	0	1.36545	0	0	0	0	0	0	0	0	0
ENTBACSYN-PWY: enterobactin biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	2.14482	17.473	0	0	4.20499	0	0.488891	0	0	0	0	0	0	0
FAO-PWY: fatty acid &beta;-oxidation I|g__Escherichia.s__Escherichia_coli	0	0	0	0.24834	3.59075	0	0	0.537162	0	0.0790488	0	0	0	0	0	0	0
FASYN-ELONG-PWY: fatty acid elongation -- saturated|g__Escherichia.s__Escherichia_coli	0	0	0	0	5.54722	0	0	1.24074	0	0	0	0	0	0	0	0	0
FASYN-ELONG-PWY: fatty acid elongation -- saturated|unclassified	0	0	0	0	0	0	0	0	0	0	2.9953	0	0	0	0	7.45087	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|g__Escherichia.s__Escherichia_coli	0	0	0	0	6.46841	0	0	0.879918	0	0	0	0	0	0	0	0	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|unclassified	0	0	0	0	0	0	0	0	0	0	1.8911	0	0	0	0	4.83691	0
FERMENTATION-PWY: mixed acid fermentation|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.94588	0	0
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage|g__Escherichia.s__Escherichia_coli	0	0	0	0.249129	7.53651	0	0	1.48799	0	0	0	0	0	0	0	0	0
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation|g__Escherichia.s__Escherichia_coli	0	0	0	0.613855	11.1381	0	0	2.57364	0	0	0	0	0	0	0	0	0
FUCCAT-PWY: fucose degradation|g__Escherichia.s__Escherichia_coli	0	0	0	0.953813	11.6636	0	0	2.54427	0	0.416533	0	0	0	0	0	0	0
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation|g__Escherichia.s__Escherichia_coli	0	0	0	0.616943	8.07348	0	0	1.49303	0	0.115314	0	0	0	0	0	0	0
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation|unclassified	7.96441	0.705415	5.38041	8.81543	3.35061	0	0	5.96511	2.187	3.10093	0	0	0	2.92915	1.7056	3.42455	1.63516
GALACTARDEG-PWY: D-galactarate degradation I|g__Escherichia.s__Escherichia_coli	0	0	0	0.635284	8.16845	0	0	1.38254	0	0.138319	0	0	0	0	0	0	0
GALACTUROCAT-PWY: D-galacturonate degradation I|g__Escherichia.s__Escherichia_coli	0	0	0	1.33658	7.42434	0	0	1.96745	0	0.267028	0	0	0	0	0	0	0
GALACTUROCAT-PWY: D-galacturonate degradation I|unclassified	10.0677	3.80623	4.67854	8.22432	3.08071	5.04993	5.81531	5.8454	3.2066	10.727	0	7.4972	0	13.6583	8.1966	9.47713	3.85334
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation|g__Escherichia.s__Escherichia_coli"	0	0	0	1.19699	6.71034	0	0	1.58819	0	0.319587	0	0	0	0	0	0	0
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation|unclassified"	7.38591	3.996	9.07711	11.9574	0.936835	6.11704	7.76429	9.67574	12.4132	10.5974	6.71404	3.9252	16.0141	6.89487	6.02555	7.71431	8.3249
GLUCARDEG-PWY: D-glucarate degradation I|g__Escherichia.s__Escherichia_coli	0	0	0	0.635284	8.16845	0	0	1.84866	0	0.299395	0	0	0	0	0	0	0
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation|g__Escherichia.s__Escherichia_coli	0	0	0	0.635284	8.16845	0	0	1.38254	0	0.138319	0	0	0	0	0	0	0
GLUCONEO-PWY: gluconeogenesis I|unclassified	20.4979	28.2697	22.0612	21.4466	22.1054	3.00054	25.0864	29.8697	27.6272	22.1409	16.1353	26.6805	20.8667	21.5193	7.59289	15.1609	15.265
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation|g__Escherichia.s__Escherichia_coli	0	0	0	0.589519	11.014	0	0	2.03659	0	0.260995	0	0	0	0	0	0	0
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation|g__Escherichia.s__Escherichia_coli	0	0	0	1.34729	8.23279	0	0	2.10605	0	0.120378	0	0	0	0	0	0	0
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation|unclassified	6.22582	0.481111	4.48846	6.61239	2.47912	0	0	4.70574	1.5081	2.16019	0	0	0	2.05064	1.21034	2.43191	1.11885
GLUTORN-PWY: L-ornithine biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0.632472	9.27495	0	0	2.23897	0	0.279005	0	0	0	0	0	0	0
GLUTORN-PWY: L-ornithine biosynthesis|unclassified	0	0	0	0	1.2046	0	0	0	0	0	0	0	0	0	0	0	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Escherichia.s__Escherichia_coli	0	0	0	0.32495	4.68511	0	0	0.949465	0	0.0827372	0	0	0	0	0	0	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|unclassified	18.1881	4.75317	7.40005	5.86675	0.877174	0.740552	2.25645	2.47555	15.2264	0	12.3345	11.5744	5.50718	4.07946	8.3794	5.76538	9.45165
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation|g__Escherichia.s__Escherichia_coli	0	0	0	0.315311	4.76652	0	0	0.651007	0	0	0	0	0	0	0	0	0
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff|g__Escherichia.s__Escherichia_coli	0	0	0	0.718505	6.89012	0	0	1.73785	0	0	0	0	0	0	0	0	0
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass|g__Escherichia.s__Escherichia_coli"	0	0	0	0.46807	7.93096	0	0	1.58064	0	0.158219	0	0	0	0	0	0	0
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)|g__Escherichia.s__Escherichia_coli	0	0	0	0.655748	7.95595	0	0	1.98201	0	0.172062	0	0	0	0	0	0	0
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)|unclassified	45.6976	60.4451	47.0108	82.3331	31.7512	42.5333	34.3655	48.2344	38.1121	70.9624	27.2739	43.2585	30.6237	37.2112	34.7188	42.3757	33.9749
GLYOXYLATE-BYPASS: glyoxylate cycle|g__Escherichia.s__Escherichia_coli	0	0	0	1.33077	11.2297	0	0	2.49198	0	0.480895	0	0	0	0	0	0	0
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate|g__Escherichia.s__Escherichia_coli	0	0	0	0.230884	6.53447	0	0	0.883904	0	0.176992	0	0	0	0	0	0	0
HEMESYN2-PWY: heme biosynthesis II (anaerobic)|g__Escherichia.s__Escherichia_coli	0	0	0	0.483765	11.1515	0	0	2.22974	0	0.21605	0	0	0	0	0	0	0
HEMESYN2-PWY: heme biosynthesis II (anaerobic)|g__Helicobacter.s__Helicobacter_hepaticus	0	0	0	1.80186	0.127384	0	0	1.64259	0	0	0.310912	0.317294	0.95517	3.29345	12.0156	0	1.81738
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)|unclassified	7.82965	0	0	0	0	0	0	0	0	0	2.47858	0	0	0	0	0	0
HISDEG-PWY: L-histidine degradation I|unclassified	14.2802	15.3492	11.8917	68.639	29.1703	37.9709	29.466	32.6298	25.6137	41.8062	27.0788	36.238	24.945	43.4752	39.8096	45.968	28.863
HISTSYN-PWY: L-histidine biosynthesis|g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012	1.40159	0	1.94684	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0.252862	4.39228	0	0	1.0723	0	0	0	0	0	0	0	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Helicobacter.s__Helicobacter_hepaticus	0	0	0	3.24568	0.407043	0	0	1.49337	0.54416	0.402787	0	0.469554	0.840828	4.04798	14.9198	0	1.63958
HISTSYN-PWY: L-histidine biosynthesis|g__Mucispirillum.s__Mucispirillum_schaedleri	2.19804	1.44291	2.92025	2.6605	0.970559	0	1.14937	0	1.97698	2.41272	2.63289	8.9694	0	7.98925	6.76902	4.40848	3.88744
HISTSYN-PWY: L-histidine biosynthesis|unclassified	4.93696	6.572	6.07122	20.0068	12.8572	9.34426	8.52054	11.8221	5.91047	13.677	3.93321	5.56324	3.20419	11.9059	14.6927	16.74	6.31607
HOMOSER-METSYN-PWY: L-methionine biosynthesis I|g__Escherichia.s__Escherichia_coli	0	0	0	0.696623	8.4899	0	0	1.49618	0	0	0	0	0	0	0	0	0
HOMOSER-METSYN-PWY: L-methionine biosynthesis I|unclassified	1.79868	1.33607	1.96493	6.32483	3.89801	5.89326	2.8486	4.52413	6.28299	8.17021	3.09707	13.6877	2.62884	5.47515	3.04023	7.79381	5.35197
HSERMETANA-PWY: L-methionine biosynthesis III|unclassified	1.4575	1.23071	1.8238	4.64561	4.26441	4.84687	2.21631	2.79299	4.00586	4.56853	2.69904	8.56752	1.72952	4.87244	2.67442	6.24922	3.83216
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Escherichia.s__Escherichia_coli	0	0	0	1.15482	8.58793	0	0	2.61645	0	0	0	0	0	0	0	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Helicobacter.s__Helicobacter_hepaticus	0.620876	0.285025	0.48965	13.3364	1.85557	0	0	6.38	2.02806	1.18002	2.5905	1.6502	0	11.5706	34.3245	0.393493	6.57508
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified	267.584	144.356	150.003	184.08	63.31	95.4289	160.369	145.057	135.336	178.444	147.714	179.389	157.748	229.14	226.172	210.262	147.731
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0.559339	5.82728	0	0	1.11687	0	0	0	0	0	0	0	0	0
KETOGLUCONMET-PWY: ketogluconate metabolism|unclassified	0	0	0	0	0.0914225	0	0	0	0	0	0	0	0	0	0	0	0
LACTOSECAT-PWY: lactose and galactose degradation I|unclassified	1.90583	0	0	0	0	0	0	0	0	0	0.732882	0	0	0	0	0	0
LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0.538404	6.75231	0	0	1.40437	0	0	0	0	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0	0.117916	0	0	0	0	0	0	0	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|unclassified	4.11177	3.03379	4.39959	13.5796	8.02232	11.054	6.35938	9.78072	13.3901	16.8006	6.83603	27.1543	5.92135	11.9869	6.8308	16.58	11.5883
METHGLYUT-PWY: superpathway of methylglyoxal degradation|g__Escherichia.s__Escherichia_coli	0	0	0	0	3.21886	0	0	0	0	0	0	0	0	0	0	0	0
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0	0.151211	0	0	0	0	0	0	0	0	0	0	0	0
METSYN-PWY: L-homoserine and L-methionine biosynthesis|unclassified	3.53278	2.60729	3.786	11.729	6.97768	9.61831	5.47715	8.44564	11.6088	14.5571	5.88717	23.6927	5.09634	10.3426	5.87552	14.3635	10.0241
NAD-BIOSYNTHESIS-II: NAD salvage pathway II|g__Escherichia.s__Escherichia_coli	0	0	0	2.05082	11.9967	0	0	2.44728	0	1.1328	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0.375538	7.17764	0	0	1.68892	0	0.119337	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Alistipes.s__Alistipes_indistinctus	0	0	0	1.49196	0	0	0	0	0	0	0	0	0	0	0	0	0
